user_id,global_AUC,global_TPR,global_FPR,cal_AUC,cal_TPR,cal_FPR,delta_TPR,delta_FPR,cal_a,cal_b,tau
23,0.9830598035558871,0.9285714285714286,0.007832898172323759,0.9830598035558871,0.9404761904761905,0.010443864229765013,0.011904761904761862,0.002610966057441254,1.0858813809409968,-0.569126326443719,0.47000000000000003
24,0.9953579533732205,0.9054054054054054,0.010178117048346057,0.9953579533732205,0.918918918918919,0.010178117048346057,0.013513513513513598,0.0,1.080608769846358,-0.6013569697172922,0.46
25,0.9802021365061089,0.9135802469135802,0.015544041450777202,0.9802021365061089,0.9135802469135802,0.007772020725388601,0.0,-0.007772020725388601,1.0756316887513637,-0.604348087918783,0.5
26,0.9965519291361988,0.9550561797752809,0.023809523809523808,0.9965519291361988,0.9550561797752809,0.021164021164021163,0.0,-0.0026455026455026454,1.0551747736371366,-0.6348867444763088,0.52
27,0.9864382824067843,0.881578947368421,0.017902813299232736,0.9864382824067843,0.881578947368421,0.017902813299232736,0.0,0.0,1.1051400705965835,-0.5547987433749738,0.5
28,0.9814906067138897,0.9294117647058824,0.015706806282722512,0.9814906067138897,0.9176470588235294,0.005235602094240838,-0.01176470588235301,-0.010471204188481674,1.0826882202157284,-0.5826599929165314,0.58
29,0.9954841178721776,0.9692307692307692,0.022388059701492536,0.9954841178721776,0.9538461538461539,0.022388059701492536,-0.01538461538461533,0.0,1.0864867976508903,-0.5703449661323133,0.51
30,0.995922283521228,0.9431818181818182,0.0079155672823219,0.995922283521228,0.9659090909090909,0.010554089709762533,0.022727272727272707,0.0026385224274406323,1.0920743915513997,-0.580008473812677,0.46
31,0.9959580511251912,0.9565217391304348,0.01507537688442211,0.9959580511251912,0.9565217391304348,0.01507537688442211,0.0,0.0,1.081608194898024,-0.5983527751809803,0.5
32,0.9946938775510205,0.9466666666666667,0.017857142857142856,0.9946938775510205,0.9333333333333333,0.015306122448979591,-0.013333333333333308,-0.0025510204081632647,1.0753090225001614,-0.5995414569243406,0.5
33,0.9882940108892921,0.9425287356321839,0.007894736842105263,0.9882940108892921,0.9425287356321839,0.007894736842105263,0.0,0.0,1.0942454675341378,-0.5728120116433083,0.5
34,0.9895328275626033,0.9574468085106383,0.0160857908847185,0.9895328275626033,0.9468085106382979,0.00804289544235925,-0.010638297872340496,-0.00804289544235925,1.076454572368675,-0.6078441006211336,0.55
35,0.9744404113732608,0.9195402298850575,0.021052631578947368,0.9744404113732608,0.9195402298850575,0.018421052631578946,0.0,-0.0026315789473684223,1.0803237867115605,-0.6037602956606833,0.5
36,0.9921144159270808,0.9204545454545454,0.018469656992084433,0.9921144159270808,0.9318181818181818,0.023746701846965697,0.011363636363636354,0.005277044854881265,1.0772490271212158,-0.5946835017581246,0.47000000000000003
37,0.9972193256864791,0.9821428571428571,0.029197080291970802,0.9972193256864791,0.9821428571428571,0.021897810218978103,0.0,-0.007299270072992699,1.078163528192639,-0.5945665904562191,0.5
38,0.9891977385920043,0.881578947368421,0.015345268542199489,0.9891977385920043,0.8421052631578947,0.0076726342710997444,-0.03947368421052633,-0.0076726342710997444,1.0804405570993383,-0.5841165039977777,0.59
39,0.9862726098191215,0.8875,0.03359173126614987,0.9862726098191215,0.8875,0.00516795865633075,0.0,-0.028423772609819122,1.0478637622061648,-0.6424810708205735,0.58
40,0.997057506556643,0.9753086419753086,0.007772020725388601,0.997057506556643,0.9753086419753086,0.007772020725388601,0.0,0.0,1.0799799353539004,-0.6031132983728019,0.5
41,0.9819913871851755,0.9113924050632911,0.020618556701030927,0.9819913871851755,0.9113924050632911,0.023195876288659795,0.0,0.0025773195876288672,1.0760673063368085,-0.5984118154515053,0.48
42,0.9938697318007663,0.9555555555555556,0.013262599469496022,0.9938697318007663,0.9555555555555556,0.010610079575596816,0.0,-0.0026525198938992054,1.070266546740531,-0.6085828990827942,0.51
43,0.9919908466819223,0.9210526315789473,0.02557544757033248,0.9919908466819223,0.9210526315789473,0.020460358056265986,0.0,-0.005115089514066494,1.099741852001194,-0.5728292420466556,0.53
44,0.9969312602291326,0.978021978021978,0.026595744680851064,0.9969312602291326,0.978021978021978,0.02925531914893617,0.0,0.0026595744680851068,1.0833822681697554,-0.5792771145314921,0.48
45,0.9974093264248705,0.9382716049382716,0.018134715025906734,0.9974093264248705,0.9382716049382716,0.018134715025906734,0.0,0.0,1.1006945117771276,-0.5633063716391107,0.5
46,0.9808191808191808,0.9090909090909091,0.005128205128205128,0.9808191808191808,0.8831168831168831,0.0,-0.025974025974025983,-0.005128205128205128,1.0662123586421823,-0.6083076965244638,0.59
